OPIS_ID|OPIS_DANE|OPIS_AUTOR|OPIS_TYTUL|OPIS_WYDAWCA|OPIS_MWYD|OPIS_RWYD|ZKS_SYGNAT|RKS_TEKST
117|001  amol2000080  a004.42:004.92](07)100  a6056245  aAutoCAD 2005 i 2005 PLcAndrzej Pikoń260  aGliwicebWydawnictwo Helionccop. 2006300  a508 s.bil.c24 cm650  a170920  a83-246-0271-2|Pikoń, Andrzej.|AutoCAD 2005 i 2005 PL|Wydawnictwo Helion|Gliwice|cop. 2006|programy komputerowe|Naukowe i popularnonaukowe
115|001  amol2000080  a621.396.6:534.86](075.8)100  a6053245  aGłośniki i zestawy głośnikowebbudowa, działanie, zastosowaniacJerzy Krajewski260  aWarszawabWydawnictwa Komunikacji i Łącznościc2003300  a255 s.bil.c24 cm500  aBibliogr650  a168|Krajewski, Jerzy.|Głośniki i zestawy głośnikowe : budowa, działanie,|Wydawnictwa Komunikacji i Łącz|Warszawa|2003|elektronika|Naukowe i popularnonaukowe
122|001  amol2000080  a82(091)100  a6065245  aSłownik lektur - liceumcDorota Stopka (oprac. haseł) ; Anna Popławska (oprac. haseł) ; Aldona Szóstak (oprac. haseł)        260  aKrakówbGregccop. 2004300  a655 s.; 21 cmc21 cm440  a26xv650  a17|Stopka Dorota (oprac. haseł)|Słownik lektur - liceum|Greg|Kraków|cop. 2004|historia literatury|Wydawnictwa informacyjne
118|001  amol2000080  a553:622.3](075.8)100  a6057245  aZasoby ZiemicJ. R. Craig, D. J. Vaughan, B. J. Skinner ; przekł. z jęz. ang. Hubert Sylwestrzak260  aWarszawabWydaw. Naukowe PWNc2003300  aX, [6], 502, [2] s., [24] s. tabl. kolor.
bil., mapy|Craig, James R. (1940- ).|Zasoby Ziemi|Wydaw. Naukowe PWN|Warszawa|2003|geologia|Naukowe i popularnonaukowe
13074|001  amol2000080  a372.850.4245  aRecykling odpadów w naszej szkole. Pakiet edukacyjny 260  aWarszawabStowarzyszenie Forum Opakowań Szklanych c[2005]300  aVI-12 s.bilc30 cm650  a7586650  a1382||Recykling odpadów w naszej szkole. Pakiet edukacyj|Stowarzyszenie Forum Opakowań |Warszawa|[2005]|metodyka nauczania|Dydaktyka i pedagogika
119|001  amol2000080  a004.42:004.92](07)100  a6061245  aSolid Edge 17bpodstawycGrzegorz Kazimierczak260  aGliwicebWydawnictwo Helionccop. 2005300  a351 s.bil.c24 cm500  aIndeks650  a172920  a83-246-0186-4|Kazimierczak, Grzegorz.|Solid Edge 17 : podstawy|Wydawnictwo Helion|Gliwice|cop. 2005|programy komputerowe|Naukowe i popularnonaukowe
120|001  amol2000080  a621.9.06-52:004.42](07)100  a6062245  aEdgeCAMbkomputerowe wspomaganie wytwarzaniacKrzysztof Augustyn260  aGliwicebWydawnictwo Helionc2004300  a347 s.bil.c24 cmedysk optyczny (CD-ROM)500  aIndeks650  a173650  a174
|Augustyn, Krzysztof.|EdgeCAM : komputerowe wspomaganie wytwarzania|Wydawnictwo Helion|Gliwice|2004|obróbka skrawaniem|Naukowe i popularnonaukowe
114|001  amol2000080  a821.162.1-3100  a5929245  aDolina MotylicKrystyna Januszewska260  aPoznańbZysk i S-kaccop. 2004300  a199, [1] s.c20 cm500  aNa okł.: Otwórz oczy, to już koniec filmu650  a1920  a83-7298-709-2|Januszewska, Krystyna (1953- ).|Dolina Motyli|Zysk i S-ka|Poznań|cop. 2004|beletrystyka |Beletrystyka
121|001  amol2000080  a821.111(73)-3100  a6063245  aAnioły i demonycDan Brown, z ang.przeł. Bożena Jóźwik260  aKatowice ; WarszawabSonia Draga ; Wydawnictwo Albatros Andrzej Kuryłowiczc2005300  a560 sc20 cm650  a176700  a6064920  a83-89779-|Brown, Dan|Anioły i demony|Sonia Draga ; Wydawnictwo Alba|Katowice ; Warszawa|2005|beletrystyka |Beletrystyka
586|001  amol2000080  a821.111(71)-3100  a6419245  aŻycie PicYann Martel ; przekł. Zbigniew Batko260  aKrakówb"Znak"c2005300  a340, [4] s.c22 cm500  aTyt. oryg.: "Life of Pi" 2001650  a31700  a6142920  a83-240-0326-6|Martel, Yann (1963- ).|Życie Pi|"Znak"|Kraków|2005|beletrystyka|Beletrystyka
136|001  amol2000080  a821.162.1-3100  a2213245  aŻabacMałgorzata Musierowicz260  aŁódźbAkapit Pressc2005300  a215 [1 nlb.]bil.c20 cm650  a182920  a83-88790-54-4|Musierowicz, Małgorzata (1945- )|Żaba|Akapit Press|Łódź|2005|beletrystyka |Beletrystyka
135|001  amol2000080  a821.162.1-3:821.112.2(436)-3100  a6078245  aOpowiadania chińskiebChinesische ErzählungencAdam Zieliński ; [il. Urszula Leszczyńska-Fano]260  aKrakówbWydaw. Edukacyjnec[1999]300  a207 s.bil. kolor.c22 cm500  aTekst równo|Zieliński, Adam (1929- ).|Opowiadania chińskie : Chinesische Erzählungen|Wydaw. Edukacyjne|Kraków|[1999]|beletrystyka |Beletrystyka
131|001  amol2000080  a821.162.1-3:821.112.2(436)-3100  a6078245  aTwarzecAdam Zieliński260  aKrakówbWydaw. Edukacyjnec2000300  a171 s.c21 cm650  a185650  a186920  a83-88365-17-7|Zieliński, Adam (1929- ).|Twarze|Wydaw. Edukacyjne|Kraków|2000|beletrystyka |Beletrystyka
132|001  amol2000080  a821.162.1(091)"1980/..."(07)100  a6079245  aLiteratura polska w latach 1986-1995cStanisław Burkot250  aWyd. nowe, rozsz260  aKrakówbWydaw. Edukacyjnec1997300  a152 s.c21 cm500  aIndeks650  a187920  a83-86663-27-8|Burkot, Stanisław (1932- ).|Literatura polska w latach 1986-1995|Wydaw. Edukacyjne|Kraków|1997|historia literatury|Naukowe i popularnonaukowe
134|001  amol2000080  a613.2/.3:641.024/.027](075)100  a6082245  aZasady żywieniacZofia Wysokińska250  aWyd. 10 popr.260  a[Warszawa]bWydaw. Szkolne i Pedagogicznec1964300  a298 s.bil., tab., wykr.c20 cm650  a189650  a190|Wysokińska, Zofia.|Zasady żywienia|Wydaw. Szkolne i Pedagogiczne|[Warszawa]|1964|dietetyka|Naukowe i popularnonaukowe
1446|001  amol2000080  a821.161.1-3100  a7693245  aMiecz Bez ImieniacAndrzej Bielanin ; przekł. Ewa Skórska260  aWarszawab"Amber"ccop. 2004300  a205, [3] s.c19 cm440  a221xv500  aTyt. oryg.: "Meč Bez Imeni" 1997650  a521700  a7694920  |Belânin, Andrej Olegovič (1967- ).|Miecz Bez Imienia|"Amber"|Warszawa|cop. 2004|fantastyka|Beletrystyka
179|001  amol2000080  a821.111-3100  a5913245  aGwiezdny pyłcNeil Gaiman ; przeł. Paulina Braiter260  aWarszawab"Mag"ccop. 2001300  a208 s.c19 cm440  a6xv500  aTyt. oryg.: "Stardust" 1999650  a4700  a5914920  a83-87968-24-2|Gaiman, Neil (1960- ).|Gwiezdny pył|"Mag"|Warszawa|cop. 2001|fantastyka|Beletrystyka
125|001  amol2000080  a821.162.1-3100  a6071245  aOstatnie historiecOlga Tokarczuk260  aKrakówbWydaw. Literackiec2004300  a291, [4] s.c21 cm650  a1920  a83-08-03629-5|Tokarczuk, Olga (1962- ).|Ostatnie historie|Wydaw. Literackie|Kraków|2004|beletrystyka |Beletrystyka
246|001  amol2000080  a821.162.1-3100  a5905245  aOnocDorota Terakowska260  aKrakówbWydaw. Literackiec2003300  a470, [2] s.c20 cm650  a1920  a83-08-03355-5|Terakowska, Dorota (1938-2004).|Ono|Wydaw. Literackie|Kraków|2003|beletrystyka|Beletrystyka
244|001  amol2000080  a821.134.3(81)-3100  a6229245  aJedenaście minutcPaulo Coelho ; przeł. Basia Stępień, Marek Janczur250  aWyd. 2260  aWarszawab"Drzewo Babel"c2004300  a234, [6] s.c21 cm500  aTyt. oryg.: Onze minutos, 2003650  a286700|Coelho, Paulo (1947- ).|Jedenaście minut|"Drzewo Babel"|Warszawa|2004|beletrystyka|Beletrystyka
176|001  amol2000080  a821.111(417)-3100  a6149245  aHerbaciarnia pod MorwamicSharon Owens ; przeł. z ang. Maria Grabska-Ryńska ; [il. Sharon Owens]260  aKatowicebWydawnictwo "Książnica"c2006300  a274, [1] s.bil.c21 cm500  aTyt. oryg.: "The te|Owens, Sharon (1968- ).|Herbaciarnia pod Morwami|Wydawnictwo "Książnica"|Katowice|2006|beletrystyka |Beletrystyka
236|001  amol2000080  a821.112.2(436)-3100  a6225245  aLekcje pana KukicRadek Knapp ; przeł. Sława Lisiecka260  aKrakówbWydaw. Literackiec2003300  a230, [2] s.c20 cm500  aTyt. oryg.: Herrn Kukas Empfehlungen650  a241700  a6226920  a83-08-|Knapp, Radek (1964- ).|Lekcje pana Kuki|Wydaw. Literackie|Kraków|2003|beletrystyka|Beletrystyka
126|001  amol2000080  a821.161.2-3100  a6072245  aDwanaście kręgówcJurij Andruchowycz ; przeł. Katarzyna Kotyńska260  aWołowiecbWydawnictwo Czarnec2005300  a363, [4] s.c20 cm440  a34xv650  a179700  a6073920  a83-89755-18-1|Andruhovič, Jurij (1960- ).|Dwanaście kręgów|Wydawnictwo Czarne|Wołowiec|2005|beletrystyka |Beletrystyka
796|001  amol2000080  a821.111(73)-3100  a6858245  aNowa pieśńcJan Karon ; tł. Mira Czarnecka260  aPoznańbZysk i S-ka Wydawnictwoccop. 2005300  a490, [2] s.bil.c18 cm440  a2xv500  aTyt. oryg.: "A new song" 1999. Stanowi część cyklu650  a|Karon, Jan (1937- ).|Nowa pieśń|Zysk i S-ka Wydawnictwo|Poznań|cop. 2005|beletrystyka|Beletrystyka
14315|001  amol2000080  a913(084.121)100  a19769245  aKontynenty w obiektywie National Geographicc[oprac.] Ferdinand Protzman ; [tł. Ewa Budrewicz-Wałaszewska]260  aWarszawabG+J RBAccop. 2005300  a501, [3] s.bfot. (gł. kolor.), portr.c26x27 cm50|Protzman, Ferdinand. Oprac.|Kontynenty w obiektywie National Geographic|G+J RBA|Warszawa|cop. 2005|geografia|Inne
127|001  amol2000080  a37(438)"1939/1945"100  a6074245  aSzkolnictwo jawne i tajne w powiecie tarnowskim w latach 1939-1945cCzesław Sterkowicz260  aTarnówbTarnowskie Towarzystwo Kulturalnec2001300  a241, [7] s.bil.c21 cm500  aBibliogr650  a1|Sterkowicz, Czesław.|Szkolnictwo jawne i tajne w powiecie tarnowskim w |Tarnowskie Towarzystwo Kultura|Tarnów|2001|Historia oświaty|Naukowe i popularnonaukowe
130|001  amol2000080  a329(438)"1918/1939"100  a6077245  aPiłsudczykowskie ugrupowania polityczne na ziemi tarnowskiej w latach 1926-1939cAndrzej Warżel260  aTarnówbTarnowskie Towarzystwo Kulturalnec2005300  a364 s.bil.c21 cm500  aBibliogr. s.|Warżel, Andrzej (1973-2004).|Piłsudczykowskie ugrupowania polityczne na ziemi t|Tarnowskie Towarzystwo Kultura|Tarnów|2005|tarnoviana|Naukowe i popularnonaukowe
